"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TIMP1|TIMP1",848.901315249112,-2.11400771074782,0.854819177572122,-2.4730466585367,0.0133966651267786,0.537613626107164
"LOC476445|LOC476445",54.2807422896927,-2.15073497576203,0.892126925959423,-2.41079482434526,0.0159178003068015,0.589313308277496
"LTF|LTF",7420.4863031535,-1.63196014477284,0.677674662155203,-2.4081764243372,0.0160324313051586,0.589313308277496
"ADGRE5|ADGRE5",5817.41560118389,-1.46445759408171,0.614986685734824,-2.38128341320412,0.0172524327820128,0.615505910722985
"IL1RN|IL1RN",951.756493537267,-1.80797227556511,0.770921382099588,-2.34520966410497,0.0190163826660503,0.659053490683401
"HAVCR2|HAVCR2",100.438533673245,0.931285364453035,0.406609099357063,2.29037020058233,0.0219998654668402,0.741273244757697
"DDOST|DDOST",4360.00210861086,-0.577815006205315,0.255236374796959,-2.26384270919443,0.0235837906469494,0.773165893371612
"SLC1A5|SLC1A5",198.394161250423,-1.33762029907661,0.611267061159588,-2.18827478866456,0.0286495921942899,0.819578485581757
"SLC9A1|SLC9A1",589.912188244001,-2.03815389033378,0.93857945126165,-2.17153048428034,0.0298910953761377,0.819578485581757
"DAG1|DAG1",236.764939761493,-1.73989226804147,0.790283095656913,-2.20160633272208,0.0276931282178656,0.819578485581757
"UCP2|UCP2",2012.36381691809,-2.45234025710004,1.12440648488364,-2.18100863884098,0.029182777521911,0.819578485581757
"MIR8810|MIR8810",10.0314402917558,-3.62395545620851,1.67405527104598,-2.16477646759189,0.0304048077915738,0.819578485581757
"ANXA2|ANXA2",8311.05763954129,-0.649411293316073,0.294546242595264,-2.20478552907031,0.0274691479767544,0.819578485581757
"CTLA4|CTLA4",595.296336188964,0.856786880581479,0.387817485412344,2.20925283879479,0.0271570595139904,0.819578485581757
"MYOZ1|MYOZ1",5.94232713658183,5.8087293594494,2.63959865158323,2.20061082239352,0.0277635867837948,0.819578485581757
"DLA-DOB|DLA-DOB",1279.67253852446,0.782479143559693,0.37220232141129,2.10229517267046,0.0355274271914626,0.861895383664883
"ICOS|ICOS",1221.59029801764,0.952401079583803,0.451923686182191,2.10743784560088,0.0350796440009156,0.861895383664883
"LOC100855558|LOC100855558",6365.15934350976,-1.9948710308637,0.943740961554148,-2.11379087284562,0.0345331328671983,0.861895383664883
"MIR8865|MIR8865",738.696366477235,-1.58217118410615,0.740761354060961,-2.13587166154452,0.032689876018039,0.861895383664883
"IL2RG|IL2RG",318.49485806671,-1.86575163990297,0.883844269809077,-2.11095065458308,0.0347765534816148,0.861895383664883
"EZR|EZR",8130.66808364303,-0.502054207860636,0.248737865672933,-2.01840683364547,0.043548908272358,0.881435341754631
"FKBP1A|FKBP1A",539.230438603034,-1.20883999301432,0.594156997590979,-2.03454642109002,0.0418965331758822,0.881435341754631
"KCNH2|KCNH2",8.76009422646174,6.36885074904193,3.16198279065131,2.01419525997169,0.043989037159044,0.881435341754631
"GCKR|GCKR",92.5202053030532,1.19831470496618,0.594441639808145,2.01586602404391,0.0438139872569254,0.881435341754631
"CYP1B1|CYP1B1",4.81037642223906,5.50400153969334,2.77390438244211,1.98420737734575,0.0472327264748978,0.881435341754631
"DLA-79|DLA-79",2811.10535833704,-1.09684605859842,0.547939396011419,-2.00176528021643,0.0453099817241766,0.881435341754631
"LOC478001|LOC478001",51.8452197185874,-2.67467551083148,1.29281278539111,-2.06888076994251,0.0385572765414058,0.881435341754631
"EPOR|EPOR",76.5805259353855,-1.62698966601113,0.819696007265379,-1.98486957553813,0.0471589841357251,0.881435341754631
